p,eps,L,mu,c,episode,convergence
1.0,0.0,1.5,0.75,0.25*(1-eps),"[0.5817193936837962, 0.5383697316614338, 0.49974523796115855, 0.4651477910714717, 0.43400949733620414, 0.4058636542094412, 0.3803232940149512, 0.35706459404526325, 0.33581480337866354, 0.3163423985848986, 0.2984495836148954, 0.281966331920185, 0.26674620039059077, 0.25266126106822545, 0.23960046428604465, 0.227466231396545, 0.21617276728913165, 0.20564415796104568, 0.19581345260231162]",True
1.0,0.0,1.5,1.125,2*(1-eps),"[0.2543755978710724, 0.1893400671893039, 0.14417974536947903, 0.11198980216836872, 0.08853632177721617, 0.0711195456572281, 0.057964200862164375, 0.04788626118746769, 0.04006484063855325, 0.033928816716202945, 0.0290615087438659, 0.02515324620310115, 0.021976208192284765, 0.01936312406592594, 0.017190187221691897, 0.015364861264533935, 0.01381721246646483, 0.012493789270321687, 0.011353288852107346]",True
1.0,0.0,1.5,1.125,1.5*(1-eps),"[0.2543755978710724, 0.1893400671893039, 0.14417974536947903, 0.11198980216836872, 0.08853632177721617, 0.0711195456572281, 0.057964200862164375, 0.04788626118746769, 0.04006484063855325, 0.033928816716202945, 0.0290615087438659, 0.02515324620310115, 0.021976208192284765, 0.01936312406592594, 0.017190187221691897, 0.015364861264533935, 0.01381721246646483, 0.012493789270321687, 0.011353288852107346]",True
1.0,0.0,1.5,1.125,1*(1-eps),"[0.2543755978710724, 0.1893400671893039, 0.14417974536947903, 0.11198980216836872, 0.08853632177721617, 0.0711195456572281, 0.057964200862164375, 0.04788626118746769, 0.04006484063855325, 0.033928816716202945, 0.0290615087438659, 0.02515324620310115, 0.021976208192284765, 0.01936312406592594, 0.017190187221691897, 0.015364861264533935, 0.01381721246646483, 0.012493789270321687, 0.011353288852107346]",True
1.0,0.0,1.5,1.125,0.5*(1-eps),"[0.44135758839832534, 0.37681656865592195, 0.3240816861466518, 0.28055688983751353, 0.24431904411721325, 0.21391639884047847, 0.18823520827620407, 0.16640903670674353, 0.14775566325657025, 0.1317322352553529, 0.11790270349572497, 0.10591621331370006, 0.09549053107472202, 0.08637739635482439, 0.0783941566279913, 0.07136810420410078, 0.06517124171378674, 0.05968814623812909, 0.054822001722776646]",True
1.0,0.0,1.5,1.125,0.25*(1-eps),"[0.5757246457335814, 0.52987372655034, 0.48877064580813007, 0.45179725636268936, 0.41843422467840646, 0.38824242934659176, 0.36084780934861244, 0.3359301402215267, 0.3132136494401587, 0.29246006534423463, 0.2734618080899516, 0.2560379289713259, 0.24002999882131987, 0.2252983778416984, 0.21172002335901444, 0.19918603426837417, 0.18759947201409102, 0.17687585988827886, 0.16693818602017585]",True
1.0,0.25,0.5,0.0,2*(1-eps),"[0.13923740334096316, 0.12132039628391682, 0.10748873793761159, 0.09648820892993303, 0.08753025475200131, 0.08009431114064036, 0.07382286810577073, 0.06846220408372888, 0.06382736433283101, 0.05978029245655369, 0.056215840504654946, 0.053052530107792636, 0.05022626310668726, 0.04768589253124928, 0.04539012796548628, 0.043305259989060055, 0.041403507266421044, 0.03966176044770413, 0.0380621208593916]",True
1.0,0.25,0.5,0.0,1.5*(1-eps),"[0.13923740334096316, 0.12132039628391682, 0.10748873793761159, 0.09648820892993303, 0.08753025475200131, 0.08009431114064036, 0.07382286810577073, 0.06846220408372888, 0.06382736433283101, 0.05978029245655369, 0.056215840504654946, 0.053052530107792636, 0.05022626310668726, 0.04768589253124928, 0.04539012796548628, 0.043305259989060055, 0.041403507266421044, 0.03966176044770413, 0.0380621208593916]",True
1.0,0.25,0.5,0.0,1*(1-eps),"[0.15658065121563697, 0.13923737957127497, 0.12535293736745798, 0.11398647578976356, 0.10450996421260632, 0.09648820690857692, 0.08961010326822279, 0.0836473506182087, 0.07842863462568281, 0.07382284921233416, 0.06972802763619301, 0.06606358666071492, 0.06276507677027478, 0.059780286954540164, 0.05706649502933585, 0.05458840244539977, 0.05231655759930413, 0.05022626289778397, 0.048296585192809695]",True
1.0,0.25,0.5,0.0,0.5*(1-eps),"[0.1925579158638205, 0.17885919081283688, 0.16698009080194168, 0.15658064720973774, 0.14740060987650977, 0.13923735899062514, 0.1319308519169972, 0.12535293644277304, 0.11939980284531754, 0.11398647339532549, 0.10904271196066967, 0.10450995472843136, 0.100339008388394, 0.09648820533180341, 0.09292204588783042, 0.0896101015070723, 0.08652612026984692, 0.08364735032965273, 0.08095396800557235]",True
